rank,stadium,capacity,region,country,city,images,home_team
298,Polsat Plus Arena Gdańsk,"43,615",Europe,Poland,Gdańsk,,Lechia Gdańsk
299,Estadio Pedro Bidegain,"43,494",South America,Argentina,Buenos Aires,,CA San Lorenzo de Almagro
300,Stadion Miejski w Poznaniu,"43,269",Europe,Poland,Poznań,,"Lech Poznań, Warta Poznań"
301,Vasil Levski National Stadium,"43,230",Europe,Bulgaria,Sofia,,Bulgaria national football team
302,Estadio Universidad San Marcos,"43,000",South America,Peru,Lima,,Deportivo Universidad San Marcos
303,Ullevi,"43,000",Europe,Sweden,Gothenburg,,Sweden women's national football team
304,Jinzhou Binhai Sports Centre Stadium,"43,000",East Asia,China,Jinzhou,no image,
305,Estadio General Santander,"42,901",South America,Colombia,Cúcuta,,Cúcuta Deportivo
306,Villa Park,"42,682",Europe,England,"Birmingham, West Midlands",,Aston Villa
307,Perak Stadium,"42,500",Southeast Asia,Malaysia,Perak,,Perak FA
308,Jeonju World Cup Stadium,"42,477",East Asia,South Korea,Jeonju,,Jeonbuk Hyundai Motors FC
309,Ligga Arena,"42,372",South America,Brazil,"Curitiba, Paraná",,Athletico Paranaense
310,Weserstadion,"42,358",Europe,Germany,Bremen,,SV Werder Bremen
311,Denka Big Swan Stadium,"42,300",East Asia,Japan,"Niigata, Niigata",,Albirex Niigata
312,Estadio Olimpico Metropolitano de Mérida,"42,200",South America,Venezuela,Mérida,,Estudiantes de Mérida
313,Daejeon World Cup Stadium,"42,176",East Asia,South Korea,Daejeon,,Daejeon Citizen
314,Matmut ATLANTIQUE,"42,115",Europe,France,Bordeaux,,FC Girondins de Bordeaux
315,Helsingin Olympiastadion,"42,062",Europe,Finland,Helsinki,,Finland national football team
316,Estádio Serra Dourada,"42,000",South America,Brazil,"Goiânia, Goiás",,"Goiás Esporte Clube, Vila Nova, Atlético Goianiense"
317,Estadio Deportivo Cali,"42,000",South America,Colombia,Cali,,Deportivo Cali
318,Estadio Modelo Alberto Spencer,"42,000",South America,Ecuador,Guayaquil,,"Club Sport Patria, Club Deportivo Everest, Panamá Sporting Club, Rocafuerte Fútbol Club"
319,Estádio do Zimpeto,"42,000",Africa,Mozambique,Maputo,no image,Mozambique national football team
320,Chengdu Sports Centre Stadium,"42,000",East Asia,China,"Chengdu, Sichuan",,
321,Royal Bafokeng Stadium,"42,000",Africa,South Africa,"Phokeng, North West",,
322,Estadio Universitario,"42,000",North America,Mexico,San Nicolás de los Garza,,Tigres de la UANL
323,Estadio Brigadier General Estanislao López,"42,000",South America,Argentina,Santa Fe,,Club Atlético Colón
324,Estadio Marcelo Bielsa,"42,000",South America,Argentina,Rosario,,Newell's Old Boys
325,Stade Geoffroy-Guichard,"41,965",Europe,France,Saint-Étienne,,AS Saint-Étienne
326,Vodafone Park,"41,903",Europe,Turkey,Istanbul,,Beşiktaş J.K.
327,Peter Mokaba Stadium,"41,733",Africa,South Africa,Polokwane,,Polokwane City FC
328,Estadio Gigante de Arroyito,"41,654",South America,Argentina,Rosario,,Rosario Central
329,Estadio Cachamay,"41,600",South America,Venezuela,Ciudad Guayana,,"Atlético Club Mineros de Guayana, AC Minervén FC"
330,Estadio de Liga Deportiva Universitaria,"41,596",South America,Ecuador,Quito,,LDU
331,Allianz Stadium,"41,507",Europe,Italy,"Turin, Piedmont",,Juventus FC
332,Sapporo Dome,"41,484",East Asia,Japan,"Sapporo, Hokkaido",,Hokkaido Consadole Sapporo
333,Stamford Bridge,"41,663",Europe,England,London,,Chelsea
334,Goyang Stadium,"41,311",East Asia,South Korea,Goyang,,
335,Estadio Hernando Siles,"41,143",South America,Bolivia,La Paz,,"La Paz FC, Club Bolívar, The Strongest"
336,Bingu National Stadium,"41,100",Africa,Malawi,Lilongwe,,"Flames, Big Bullets FC"
337,Mbombela Stadium,"40,929",Africa,South Africa,"Nelspruit, Mpumalanga",,
338,Estadio José Pachencho Romero,"40,800",South America,Venezuela,Maracaibo,,"Deportivo JBL del Zulia, Deportivo Rayo Zuliano"
339,Stade Nelson Mandela,"40,784",Africa,Algeria,Algiers,,Algeria national football team
340,Kashima Football Stadium,"40,728",East Asia,Japan,"Kashima, Ibaraki",,Kashima Antlers
341,Baba Yara Stadium,"40,528",Africa,Ghana,Kumasi,,"Asante Kotoko, King Faisal Babes"
342,Estádio Major Antônio Couto Pereira,"40,502",South America,Brazil,"Curitiba, Paraná",,Coritiba Foot Ball Club
343,Stage Front Stadium,"40,500",Europe,Spain,Barcelona,,RCD Espanyol
344,Estadio Metropolitano de fútbol de Lara,"40,312",South America,Venezuela,Barquisimeto,,Unión Lara
345,Estadio Malvinas Argentinas,"40,268",South America,Argentina,Mendoza,,Godoy Cruz Antonio Tomba
346,Stadion Lukas Enembe,"40,263",Southeast Asia,Indonesia,Nolokla,,Persipura Jayapura
347,Gwangju World Cup Stadium,"40,245",East Asia,South Korea,Gwangju,,Gwangju FC
348,Sân vận động Quốc gia Mỹ Đình,"40,192",Southeast Asia,Vietnam,Hanoi,,Vietnam national football team
349,Goodison Park,"40,157",Europe,England,"Liverpool, North West",,Everton FC
350,Estádio Governador João Castelo,"40,149",South America,Brazil,"São Luís, Maranhão",,"Sampaio Corrêa FC, Moto Club SL, Maranhão AC"
351,Stade Miloud-Hadefi,"40,143",Africa,Algeria,Oran,,"Algeria national football team, MC Oran"
